"id","Direction","Platform","Response.RT","Scored","Encoding","List_Type","List_Type2"
"10088621","F","USM",3742,100,"Frequency","Pure F","Pure F"
"5bba1b6b8f3bd70001e6be3a","F","Prolific",6216,100,"Frequency","Pure F","Pure F"
"5d6ddfdb93e457001621007a","F","Prolific",2199,100,"Frequency","Pure F","Pure F"
"5f12776cbab84e06ad7b6b0b","F","Prolific",1837,100,"Frequency","Pure F","Pure F"
"956914","F","USM",4509,0,"Frequency","Pure F","Pure F"
"996448","F","USM",1711,0,"Frequency","Pure F","Pure F"
"W10005644","F","USM",2631,100,"Frequency","Pure F","Pure F"
"w10022212","F","USM",2121,100,"Frequency","Pure F","Pure F"
"w10027383_mes","F","USM",1964,100,"Frequency","Pure F","Pure F"
"w10038832","F","USM",3871,100,"Frequency","Pure F","Pure F"
"w10041472","F","USM",2027,100,"Frequency","Pure F","Pure F"
"w10045136_blm","F","USM",1467,100,"Frequency","Pure F","Pure F"
"w10045719","F","USM",2924,100,"Frequency","Pure F","Pure F"
"w10045719","F","USM",2651,100,"Frequency","Pure F","Pure F"
"w10060703","F","USM",1856,100,"Frequency","Pure F","Pure F"
"w10061432","F","USM",2561,100,"Frequency","Pure F","Pure F"
"w10081713","F","USM",3481,100,"Frequency","Pure F","Pure F"
"w10100504","F","USM",7541,100,"Frequency","Pure F","Pure F"
"10088621","F","USM",3835,100,"Frequency","Pure F","Pure F"
"5bba1b6b8f3bd70001e6be3a","F","Prolific",4315,100,"Frequency","Pure F","Pure F"
"5d6ddfdb93e457001621007a","F","Prolific",2575,0,"Frequency","Pure F","Pure F"
"5f12776cbab84e06ad7b6b0b","F","Prolific",1709,100,"Frequency","Pure F","Pure F"
"956914","F","USM",542,0,"Frequency","Pure F","Pure F"
"996448","F","USM",2196,0,"Frequency","Pure F","Pure F"
"W10005644","F","USM",2402,100,"Frequency","Pure F","Pure F"
"w10022212","F","USM",3653,100,"Frequency","Pure F","Pure F"
"w10027383_mes","F","USM",2674,100,"Frequency","Pure F","Pure F"
"w10038832","F","USM",4020,100,"Frequency","Pure F","Pure F"
"w10041472","F","USM",1872,100,"Frequency","Pure F","Pure F"
"w10045136_blm","F","USM",2638,0,"Frequency","Pure F","Pure F"
"w10045136_blm","F","USM",3922,0,"Frequency","Pure F","Pure F"
"w10045719","F","USM",3329,100,"Frequency","Pure F","Pure F"
"w10060703","F","USM",4067,100,"Frequency","Pure F","Pure F"
"w10061432","F","USM",2333,100,"Frequency","Pure F","Pure F"
"w10081713","F","USM",4325,100,"Frequency","Pure F","Pure F"
"w10100504","F","USM",1771,100,"Frequency","Pure F","Pure F"
"10088621","F","USM",3216,100,"Frequency","Pure F","Pure F"
"5bba1b6b8f3bd70001e6be3a","F","Prolific",3371,100,"Frequency","Pure F","Pure F"
"5d6ddfdb93e457001621007a","F","Prolific",2690,0,"Frequency","Pure F","Pure F"
"5f12776cbab84e06ad7b6b0b","F","Prolific",2015,100,"Frequency","Pure F","Pure F"
"956914","F","USM",2300,0,"Frequency","Pure F","Pure F"
"996448","F","USM",3135,0,"Frequency","Pure F","Pure F"
"W10005644","F","USM",1818,100,"Frequency","Pure F","Pure F"
"w10022212","F","USM",1993,100,"Frequency","Pure F","Pure F"
"w10027383_mes","F","USM",2970,100,"Frequency","Pure F","Pure F"
"w10038832","F","USM",3842,100,"Frequency","Pure F","Pure F"
"w10041472","F","USM",2013,100,"Frequency","Pure F","Pure F"
"w10045136_blm","F","USM",2041,100,"Frequency","Pure F","Pure F"
"w10045719","F","USM",2207,100,"Frequency","Pure F","Pure F"
"w10060703","F","USM",1771,100,"Frequency","Pure F","Pure F"
"w10061432","F","USM",1929,100,"Frequency","Pure F","Pure F"
"w10081713","F","USM",3857,100,"Frequency","Pure F","Pure F"
"w10100504","F","USM",2631,0,"Frequency","Pure F","Pure F"
"10088621","F","USM",3505,100,"Frequency","Pure F","Pure F"
"5bba1b6b8f3bd70001e6be3a","F","Prolific",3909,100,"Frequency","Pure F","Pure F"
"5d6ddfdb93e457001621007a","F","Prolific",3398,0,"Frequency","Pure F","Pure F"
"5f12776cbab84e06ad7b6b0b","F","Prolific",2864,100,"Frequency","Pure F","Pure F"
"956914","F","USM",822,0,"Frequency","Pure F","Pure F"
"996448","F","USM",2049,0,"Frequency","Pure F","Pure F"
"W10005644","F","USM",3050,100,"Frequency","Pure F","Pure F"
"w10022212","F","USM",3244,100,"Frequency","Pure F","Pure F"
"w10027383_mes","F","USM",2396,100,"Frequency","Pure F","Pure F"
"w10038832","F","USM",3540,100,"Frequency","Pure F","Pure F"
"w10041472","F","USM",3455,100,"Frequency","Pure F","Pure F"
"w10045136_blm","F","USM",4839,0,"Frequency","Pure F","Pure F"
"w10045719","F","USM",2034,100,"Frequency","Pure F","Pure F"
"w10060703","F","USM",2627,100,"Frequency","Pure F","Pure F"
"w10061432","F","USM",4888,0,"Frequency","Pure F","Pure F"
"w10081713","F","USM",4149,100,"Frequency","Pure F","Pure F"
"w10100504","F","USM",1278,0,"Frequency","Pure F","Pure F"
"10088621","F","USM",4775,100,"Frequency","Pure F","Pure F"
"5bba1b6b8f3bd70001e6be3a","F","Prolific",4348,0,"Frequency","Pure F","Pure F"
"5d6ddfdb93e457001621007a","F","Prolific",3956,0,"Frequency","Pure F","Pure F"
