"id","Direction","Frequency","Platform","Response.RT","Scored","Encoding","List_Type"
"488672","U",32,"USM",12173,0,"Frequency","Pure U"
"10006036","U",30,"USM",6261,0,"Frequency","Pure U"
"10038653","U",0,"USM",5318,0,"Frequency","Pure U"
"10066786","U",0,"USM",10059,0,"Frequency","Pure U"
"10097621","U",23,"USM",4566,100,"Frequency","Pure U"
"213499","U",5,"USM",4820,100,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",10,"Prolific",1181,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",20,"Prolific",8801,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",3,"Prolific",6054,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",10,"Prolific",3311,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",20,"Prolific",14459,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",19,"Prolific",3884,100,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",1822,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",2739,0,"Frequency","Pure U"
"w10044769_mad","U",20,"USM",18526,100,"Frequency","Pure U"
"w10080302_stt","U",10,"USM",12463,0,"Frequency","Pure U"
"w10103314","U",20,"USM",2518,0,"Frequency","Pure U"
"w10118712","U",0,"USM",5453,0,"Frequency","Pure U"
"w939844","U",10,"USM",18174,0,"Frequency","Pure U"
"w939844","U",20,"USM",16290,100,"Frequency","Pure U"
"w970137","U",5,"USM",4270,0,"Frequency","Pure U"
"w994700","U",0,"USM",3339,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",5274,100,"Frequency","Pure U"
"488672","U",1,"USM",4442,0,"Frequency","Pure U"
"10006036","U",30,"USM",1473,0,"Frequency","Pure U"
"10038653","U",2,"USM",8823,0,"Frequency","Pure U"
"10066786","U",6,"USM",9107,0,"Frequency","Pure U"
"10097621","U",12,"USM",1371,0,"Frequency","Pure U"
"213499","U",12,"USM",3090,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",5,"Prolific",1087,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",35,"Prolific",17734,100,"Frequency","Pure U"
