"id","Direction","Platform","Response.RT","Scored","Encoding","List_Type","List_Type2"
"10040029","B","USM",8168,100,"Frequency","Pure B","Pure B"
"10040029","B","USM",8107,0,"Frequency","Pure B","Pure B"
"60ff05518f64c7c893474505","B","Prolific",4933,0,"Frequency","Pure B","Pure B"
"60ff05518f64c7c893474505","B","Prolific",5932,100,"Frequency","Pure B","Pure B"
"60ff49b2b870d28d817836c6","B","Prolific",6343,100,"Frequency","Pure B","Pure B"
"60ff49b2b870d28d817836c6","B","Prolific",6845,0,"Frequency","Pure B","Pure B"
"61087418db0b43f38d3da287","B","Prolific",3700,0,"Frequency","Pure B","Pure B"
"61087418db0b43f38d3da287","B","Prolific",2636,100,"Frequency","Pure B","Pure B"
"610dc504ddee9b1a9489d7e1","B","Prolific",4022,0,"Frequency","Pure B","Pure B"
"610dc504ddee9b1a9489d7e1","B","Prolific",2921,100,"Frequency","Pure B","Pure B"
"957939","B","USM",6093,0,"Frequency","Pure B","Pure B"
"957939","B","USM",5383,100,"Frequency","Pure B","Pure B"
"w10024625","B","USM",4790,0,"Frequency","Pure B","Pure B"
"w10024625","B","USM",4868,100,"Frequency","Pure B","Pure B"
"w10030541","B","USM",6740,0,"Frequency","Pure B","Pure B"
"w10030541","B","USM",5289,100,"Frequency","Pure B","Pure B"
"W10036236","B","USM",8711,100,"Frequency","Pure B","Pure B"
"W10036236","B","USM",15730,100,"Frequency","Pure B","Pure B"
"w10040386","B","USM",10883,0,"Frequency","Pure B","Pure B"
"w10040386","B","USM",2971,0,"Frequency","Pure B","Pure B"
"w10047913","B","USM",2923,0,"Frequency","Pure B","Pure B"
"w10047913","B","USM",5505,100,"Frequency","Pure B","Pure B"
"w10058884","B","USM",8914,100,"Frequency","Pure B","Pure B"
"w10058884","B","USM",1167,0,"Frequency","Pure B","Pure B"
"w10059972","B","USM",7939,0,"Frequency","Pure B","Pure B"
"w10059972","B","USM",8312,0,"Frequency","Pure B","Pure B"
"w10060485","B","USM",59,0,"Frequency","Pure B","Pure B"
"w10060485","B","USM",145,0,"Frequency","Pure B","Pure B"
"w10066171","B","USM",3320,100,"Frequency","Pure B","Pure B"
"w10066171","B","USM",2741,0,"Frequency","Pure B","Pure B"
"w10069845","B","USM",4419,0,"Frequency","Pure B","Pure B"
"w10069845","B","USM",5461,100,"Frequency","Pure B","Pure B"
"w10069972","B","USM",20396,100,"Frequency","Pure B","Pure B"
"w10069972","B","USM",17042,0,"Frequency","Pure B","Pure B"
"w10069972","B","USM",5792,100,"Frequency","Pure B","Pure B"
"w10079495","B","USM",3096,0,"Frequency","Pure B","Pure B"
"w10079495","B","USM",7858,0,"Frequency","Pure B","Pure B"
"w10084944_mcm","B","USM",37479,0,"Frequency","Pure B","Pure B"
"w10084944_mcm","B","USM",2887,0,"Frequency","Pure B","Pure B"
"w10104906_jam","B","USM",11455,0,"Frequency","Pure B","Pure B"
"w10104906_jam","B","USM",12519,100,"Frequency","Pure B","Pure B"
"w984212","B","USM",3656,0,"Frequency","Pure B","Pure B"
"w984212","B","USM",2339,0,"Frequency","Pure B","Pure B"
"10040029","B","USM",6172,0,"Frequency","Pure B","Pure B"
"60ff05518f64c7c893474505","B","Prolific",6966,100,"Frequency","Pure B","Pure B"
"60ff49b2b870d28d817836c6","B","Prolific",4052,0,"Frequency","Pure B","Pure B"
"61087418db0b43f38d3da287","B","Prolific",2049,0,"Frequency","Pure B","Pure B"
"610dc504ddee9b1a9489d7e1","B","Prolific",4825,0,"Frequency","Pure B","Pure B"
"957939","B","USM",5397,0,"Frequency","Pure B","Pure B"
"w10024625","B","USM",2312,100,"Frequency","Pure B","Pure B"
"w10030541","B","USM",3811,0,"Frequency","Pure B","Pure B"
"W10036236","B","USM",4215,100,"Frequency","Pure B","Pure B"
"w10040386","B","USM",7204,0,"Frequency","Pure B","Pure B"
"w10047913","B","USM",3649,0,"Frequency","Pure B","Pure B"
"w10058884","B","USM",4123,0,"Frequency","Pure B","Pure B"
"w10059972","B","USM",8271,0,"Frequency","Pure B","Pure B"
"w10060485","B","USM",3763,0,"Frequency","Pure B","Pure B"
"w10066171","B","USM",3966,0,"Frequency","Pure B","Pure B"
"w10069845","B","USM",2915,0,"Frequency","Pure B","Pure B"
"w10069972","B","USM",3427,100,"Frequency","Pure B","Pure B"
"w10079495","B","USM",10271,0,"Frequency","Pure B","Pure B"
"w10084944_mcm","B","USM",4307,0,"Frequency","Pure B","Pure B"
"w10104906_jam","B","USM",6733,0,"Frequency","Pure B","Pure B"
"w984212","B","USM",2709,0,"Frequency","Pure B","Pure B"
"10040029","B","USM",9030,100,"Frequency","Pure B","Pure B"
"60ff05518f64c7c893474505","B","Prolific",70603,0,"Frequency","Pure B","Pure B"
"60ff49b2b870d28d817836c6","B","Prolific",11240,100,"Frequency","Pure B","Pure B"
"61087418db0b43f38d3da287","B","Prolific",1803,0,"Frequency","Pure B","Pure B"
"610dc504ddee9b1a9489d7e1","B","Prolific",4592,100,"Frequency","Pure B","Pure B"
"957939","B","USM",7625,100,"Frequency","Pure B","Pure B"
"w10024625","B","USM",4778,100,"Frequency","Pure B","Pure B"
"w10030541","B","USM",4427,100,"Frequency","Pure B","Pure B"
"W10036236","B","USM",5230,0,"Frequency","Pure B","Pure B"
"w10040386","B","USM",7008,100,"Frequency","Pure B","Pure B"
"w10047913","B","USM",4280,100,"Frequency","Pure B","Pure B"
"w10058884","B","USM",2125,0,"Frequency","Pure B","Pure B"
"w10059972","B","USM",5336,100,"Frequency","Pure B","Pure B"
"w10060485","B","USM",5610,0,"Frequency","Pure B","Pure B"
"w10066171","B","USM",3485,100,"Frequency","Pure B","Pure B"
"w10069845","B","USM",5193,100,"Frequency","Pure B","Pure B"
"w10069972","B","USM",7139,100,"Frequency","Pure B","Pure B"
"w10079495","B","USM",3278,100,"Frequency","Pure B","Pure B"
"w10084944_mcm","B","USM",5034,0,"Frequency","Pure B","Pure B"
"w10104906_jam","B","USM",39102,0,"Frequency","Pure B","Pure B"
"w984212","B","USM",6405,100,"Frequency","Pure B","Pure B"
"10040029","B","USM",6315,100,"Frequency","Pure B","Pure B"
"10040029","B","USM",2860,0,"Frequency","Pure B","Pure B"
"60ff05518f64c7c893474505","B","Prolific",20853,0,"Frequency","Pure B","Pure B"
"60ff05518f64c7c893474505","B","Prolific",11764,0,"Frequency","Pure B","Pure B"
"60ff49b2b870d28d817836c6","B","Prolific",3627,100,"Frequency","Pure B","Pure B"
"60ff49b2b870d28d817836c6","B","Prolific",8832,0,"Frequency","Pure B","Pure B"
"61087418db0b43f38d3da287","B","Prolific",2200,0,"Frequency","Pure B","Pure B"
"61087418db0b43f38d3da287","B","Prolific",2800,0,"Frequency","Pure B","Pure B"
"610dc504ddee9b1a9489d7e1","B","Prolific",4227,0,"Frequency","Pure B","Pure B"
"610dc504ddee9b1a9489d7e1","B","Prolific",2551,100,"Frequency","Pure B","Pure B"
"957939","B","USM",6210,100,"Frequency","Pure B","Pure B"
"957939","B","USM",5269,0,"Frequency","Pure B","Pure B"
"w10024625","B","USM",3565,100,"Frequency","Pure B","Pure B"
"w10024625","B","USM",3738,0,"Frequency","Pure B","Pure B"
"w10030541","B","USM",5256,0,"Frequency","Pure B","Pure B"
"w10030541","B","USM",5012,100,"Frequency","Pure B","Pure B"
"W10036236","B","USM",5935,100,"Frequency","Pure B","Pure B"
"W10036236","B","USM",6463,0,"Frequency","Pure B","Pure B"
"w10040386","B","USM",11968,0,"Frequency","Pure B","Pure B"
"w10040386","B","USM",17896,0,"Frequency","Pure B","Pure B"
"w10047913","B","USM",3557,0,"Frequency","Pure B","Pure B"
"w10047913","B","USM",5372,0,"Frequency","Pure B","Pure B"
"w10058884","B","USM",6707,100,"Frequency","Pure B","Pure B"
"w10058884","B","USM",5010,0,"Frequency","Pure B","Pure B"
"w10059972","B","USM",8653,100,"Frequency","Pure B","Pure B"
"w10059972","B","USM",8981,0,"Frequency","Pure B","Pure B"
"w10060485","B","USM",5519,0,"Frequency","Pure B","Pure B"
"w10060485","B","USM",14178,0,"Frequency","Pure B","Pure B"
"w10066171","B","USM",5260,0,"Frequency","Pure B","Pure B"
