"id","Direction","Platform","Response.RT","Scored","Encoding","List_Type"
"10070643","U","USM",9153,0,"READ","Pure U"
"10109468","U","USM",28150,100,"READ","Pure U"
"5a08ea4ab921bc0001e1c10a","U","Prolific",4113,100,"READ","Pure U"
"5e80b7427567f07891655e7e","U","Prolific",2484,0,"READ","Pure U"
"984021","U","USM",1094,0,"READ","Pure U"
"999552","U","USM",4876,0,"READ","Pure U"
"w10000509_bb","U","USM",4149,0,"READ","Pure U"
"w10011351","U","USM",3954,0,"READ","Pure U"
"w10016360_akl","U","USM",1819,0,"READ","Pure U"
"w10020014_rhc","U","USM",2828,0,"READ","Pure U"
"w10052476","U","USM",3156,100,"READ","Pure U"
"w10052476","U","USM",2625,100,"READ","Pure U"
"w10064255","U","USM",3315,0,"READ","Pure U"
"w10081238_kdg","U","USM",5328,0,"READ","Pure U"
"w10082046","U","USM",4034,0,"READ","Pure U"
"w10086368_DNAW","U","USM",4657,100,"READ","Pure U"
"w214163","U","USM",7920,0,"READ","Pure U"
"w217559","U","USM",2571,0,"READ","Pure U"
"w920605_ajd","U","USM",5731,0,"READ","Pure U"
"w959252","U","USM",4181,0,"READ","Pure U"
"w962535","U","USM",13694,0,"READ","Pure U"
"10070643","U","USM",3309,0,"READ","Pure U"
"10109468","U","USM",9525,100,"READ","Pure U"
"5a08ea4ab921bc0001e1c10a","U","Prolific",5193,0,"READ","Pure U"
"5e80b7427567f07891655e7e","U","Prolific",3178,0,"READ","Pure U"
"984021","U","USM",897,0,"READ","Pure U"
"999552","U","USM",1224,0,"READ","Pure U"
"w10000509_bb","U","USM",3822,0,"READ","Pure U"
"w10011351","U","USM",8266,0,"READ","Pure U"
"w10016360_akl","U","USM",2426,0,"READ","Pure U"
"w10020014_rhc","U","USM",1293,0,"READ","Pure U"
"w10052476","U","USM",2831,0,"READ","Pure U"
"w10064255","U","USM",1738,0,"READ","Pure U"
"w10081238_kdg","U","USM",5036,0,"READ","Pure U"
"w10082046","U","USM",1264,0,"READ","Pure U"
"w10086368_DNAW","U","USM",3428,0,"READ","Pure U"
"w214163","U","USM",3982,0,"READ","Pure U"
"w217559","U","USM",2423,0,"READ","Pure U"
"w920605_ajd","U","USM",15594,0,"READ","Pure U"
"w959252","U","USM",1445,0,"READ","Pure U"
"w962535","U","USM",61481,0,"READ","Pure U"
"10070643","U","USM",4570,0,"READ","Pure U"
"10109468","U","USM",17716,0,"READ","Pure U"
"5a08ea4ab921bc0001e1c10a","U","Prolific",5066,0,"READ","Pure U"
"5e80b7427567f07891655e7e","U","Prolific",4038,0,"READ","Pure U"
"984021","U","USM",1633,0,"READ","Pure U"
"999552","U","USM",823,0,"READ","Pure U"
"w10000509_bb","U","USM",3222,0,"READ","Pure U"
"w10011351","U","USM",60290,0,"READ","Pure U"
"w10016360_akl","U","USM",3342,0,"READ","Pure U"
"w10020014_rhc","U","USM",2009,0,"READ","Pure U"
"w10020014_rhc","U","USM",4721,0,"READ","Pure U"
