"id","Direction","Platform","Response.RT","Scored","Encoding","List_Type"
"10022184","U","USM",2383,0,"Frequency","Mixed"
"10102869","U","USM",3163,0,"Frequency","Mixed"
"5eba75d1758c7a1cffb62685","U","Prolific",2031,0,"Frequency","Mixed"
"5ed6b2dd7478e0122030e7ff","U","Prolific",8873,0,"Frequency","Mixed"
"6046c6a2e1974f13d5bb6470","U","Prolific",7026,0,"Frequency","Mixed"
"611eeab62b4134c65210f278","U","Prolific",5388,0,"Frequency","Mixed"
"984212","U","USM",3037,0,"Frequency","Mixed"
"988953","U","USM",2841,0,"Frequency","Mixed"
"992067","U","USM",7058,0,"Frequency","Mixed"
"w10016000","U","USM",1588,0,"Frequency","Mixed"
"w10019508ma","U","USM",5880,0,"Frequency","Mixed"
"w10033367_mel","U","USM",5602,0,"Frequency","Mixed"
"w10040029_rpm","U","USM",1209,0,"Frequency","Mixed"
"w10043264","U","USM",4096,0,"Frequency","Mixed"
"w10048513sy","U","USM",4102,0,"Frequency","Mixed"
"w10060257","U","USM",8843,0,"Frequency","Mixed"
"w10066829","U","USM",2334,0,"Frequency","Mixed"
"w10104830_nn","U","USM",1516,0,"Frequency","Mixed"
"10022184","S","USM",4924,100,"Frequency","Mixed"
"10102869","S","USM",2390,100,"Frequency","Mixed"
"5eba75d1758c7a1cffb62685","S","Prolific",6670,100,"Frequency","Mixed"
"5ed6b2dd7478e0122030e7ff","S","Prolific",4521,100,"Frequency","Mixed"
"6046c6a2e1974f13d5bb6470","S","Prolific",10237,0,"Frequency","Mixed"
"611eeab62b4134c65210f278","S","Prolific",7487,100,"Frequency","Mixed"
"984212","S","USM",3839,100,"Frequency","Mixed"
"988953","S","USM",2601,100,"Frequency","Mixed"
"992067","S","USM",3835,100,"Frequency","Mixed"
"w10016000","S","USM",5978,100,"Frequency","Mixed"
"w10019508ma","S","USM",11856,0,"Frequency","Mixed"
"w10033367_mel","S","USM",7721,0,"Frequency","Mixed"
"w10040029_rpm","S","USM",4433,100,"Frequency","Mixed"
"w10043264","S","USM",3281,100,"Frequency","Mixed"
"w10048513sy","S","USM",2871,100,"Frequency","Mixed"
"w10060257","S","USM",14078,100,"Frequency","Mixed"
"w10066829","S","USM",4737,100,"Frequency","Mixed"
"w10104830_nn","S","USM",5112,100,"Frequency","Mixed"
"10022184","U","USM",3862,100,"Frequency","Mixed"
"10102869","U","USM",2573,100,"Frequency","Mixed"
"5eba75d1758c7a1cffb62685","U","Prolific",1291,0,"Frequency","Mixed"
"5ed6b2dd7478e0122030e7ff","U","Prolific",4499,100,"Frequency","Mixed"
